Time (s),Fig3A(Mi9-On),Fig3A(Tm3-On),Fig3A(Mi1-On),Fig3A(Mi4-On),Fig3A(C3-On),Fig3A(Mi9-Off),Fig3A(Tm3-Off),Fig3A(Mi1-Off),Fig3A(Mi4-Off),Fig3A(C3-Off),Fig2A(Tm3-On-1),Fig2A(Mi1-On-1),Fig2A(Tm3-On-2),Fig2A(Mi1-On-2),Fig2A(Tm3-On-3),Fig2A(Mi1-On-3),Fig2B(Tm1-Off-1),Fig2B(Tm2-Off-1),Fig2B(Tm1-Off-2),Fig2B(Tm2-Off-2),Fig2B(Tm1-Off-3),Fig2B(Tm2-Off-3),Fig4b(Mi1-on),Fig4b(Tm1-on),Fig3c(Tm9-Off)Direct,Fig3c(Tm9-Off)Invert,Fig3b(Mi1-on),Fig4b(Tm1-off),Fig4b(Tm2-off),Fig4b(Tm3-off) ,FigS6(T2-flash),FigS5(T3-flash),Fig4a(T2-both),Fig4a(T3-both)
0.0,0.9530598,0.8252996,0.32018322,0.78929394,0.5388374,0.05782998,1.635675,0.83691096,2.5459332,0.21941052,0.82529956,0.3201832,0.8252996,0.32018322,0.8252996,0.32018313,0.35743147,0.15661019,0.3574315,0.15661019,0.35743147,0.15661015,0.32018325,0.35743147,0.38653407,0.38653412,0.32018322,0.35743147,0.1566102,0.8252997,0.9946253,-0.19591253,0.9946252,-0.19591251
0.01,0.9531159,0.82557553,0.32037884,0.78930134,0.5387849,0.0586265,1.6359128,0.83711547,2.5459201,0.21916106,0.82557553,0.3203788,0.82557553,0.3203788,0.82557553,0.3203788,0.35738596,0.15612054,0.357386,0.15612055,0.35738596,0.15612051,0.3203789,0.35738596,0.38649493,0.38649496,0.32037887,0.35738596,0.15612052,0.8255756,0.9977498,-0.1957213,0.99774975,-0.19572122
0.02,0.9531614,0.8257832,0.32047495,0.7892722,0.5387159,0.059334192,1.6361635,0.837322,2.5459814,0.21893081,0.8257832,0.3204749,0.8257832,0.32047483,0.8257832,0.32047483,0.35733625,0.15561154,0.35733628,0.15561154,0.35733628,0.15561149,0.32047495,0.35733628,0.38644844,0.38644847,0.32047492,0.35733628,0.15561152,0.82578325,1.0005137,-0.19550128,1.0005136,-0.19550127
0.03,0.95321167,0.8258946,0.32049736,0.7891734,0.53862953,0.059961267,1.6364249,0.8375264,2.5461047,0.21871817,0.8258946,0.32049727,0.8258946,0.32049736,0.8258946,0.32049724,0.35728303,0.15510969,0.35728306,0.15510969,0.35728306,0.15510964,0.32101014,0.35728306,0.38640293,0.38640296,0.3204973,0.35728306,0.15510967,0.8258946,1.0028863,-0.19531696,1.0028862,-0.19531694
0.04,0.9532909,0.82591915,0.32047525,0.78899634,0.53852683,0.060517482,1.6366936,0.83772576,2.5462735,0.21852167,0.82591915,0.32047516,0.82591915,0.32047522,0.82591915,0.32047522,0.3572308,0.15464707,0.3572308,0.1546471,0.35723084,0.15464708,0.83373857,0.35724333,0.38637382,0.38637385,0.8332437,0.3576857,0.15367034,0.82591915,1.0048498,-0.1951836,1.0048497,-0.19518362
0.05,0.95341694,0.82588184,0.32043076,0.78875,0.53841066,0.061013676,1.6369654,0.8379175,2.5464728,0.21833996,0.8258818,0.3204307,0.82588184,0.32043076,0.82588184,0.32043076,0.35718533,0.15424852,0.35718533,0.15424854,0.35718536,0.1542485,1.3248507,0.3697189,0.38637346,0.3863735,1.3245244,0.36969736,0.12614538,1.1445978,1.0064074,-0.19509248,1.0064074,-0.1950925
0.06,0.9535947,0.82580847,0.32037845,0.7884539,0.5382849,0.0614603,1.6372359,0.8381,2.546687,0.21817186,0.8258084,0.3203785,0.8258084,0.32037857,0.8258084,0.32037854,0.35715124,0.15392697,0.35715124,0.15392698,0.35715127,0.15392697,1.6463363,0.36930344,0.3864062,0.38640624,1.6461816,0.36823398,0.0047848746,1.6011422,1.0075827,-0.19502965,1.0075827,-0.19502966
0.07,0.9538164,0.8257191,0.320327,0.7881317,0.5381539,0.06186729,1.6375011,0.8382721,2.5469024,0.2180163,0.82571906,0.32032698,0.82571906,0.3203271,0.82571906,0.3203271,0.35713074,0.15368386,0.35713074,0.15368387,0.35713074,0.15368387,1.7838124,0.33969116,0.38646823,0.3864683,1.2710398,0.3364395,-0.22300053,2.0625203,1.0084145,-0.19498545,1.0084145,-0.1949855
0.08,0.95406693,0.8256271,0.3202808,0.78780764,0.53802174,0.06224283,1.6377577,0.83843315,2.547109,0.21787232,0.8256271,0.32028073,0.8256271,0.32028076,0.8256271,0.3202808,0.35712352,0.15351112,0.35712355,0.15351118,0.35712355,0.1535111,1.7704375,0.29129732,0.3865506,0.3865506,0.7666379,0.2764401,-0.47233418,2.0958982,1.0089521,-0.19495605,1.0089521,-0.19495603
0.09,0.95432854,0.82554,0.32024145,0.7875021,0.5378918,0.06259348,1.6380025,0.8385836,2.5472996,0.21773912,0.82554,0.32024142,0.82554,0.32024142,0.82554,0.3202414,0.35712752,0.15339476,0.35712755,0.15339482,0.35712752,0.15339476,1.6478764,0.2608866,0.3866423,0.38664228,0.3450726,0.2357114,-0.610206,1.7958432,1.0092493,-0.1949415,1.0092493,-0.19494158
0.1,0.95458513,0.8254614,0.32020944,0.78722996,0.53776646,0.0629239,1.6382341,0.8387235,2.5474696,0.21761593,0.8254614,0.3202094,0.8254614,0.32020932,0.8254614,0.3202093,0.35713953,0.15331843,0.35713956,0.15331851,0.35713953,0.15331848,1.4740784,0.2410455,0.38673353,0.38673347,0.062042207,0.21443819,-0.590646,1.3541683,1.0093591,-0.19494322,1.0093591,-0.19494323
0.1099999999999999,0.9548248,0.82539225,0.32018366,0.7869998,0.5376472,0.06323749,1.6384512,0.8388542,2.547617,0.2175021,0.82539225,0.32018355,0.82539225,0.32018363,0.82539225,0.32018366,0.3571562,0.15326682,0.3571562,0.15326682,0.3571562,0.15326683,1.3022275,0.22931434,0.38681698,0.38681692,-0.076628745,0.20949449,-0.43060565,0.92436886,1.0093297,-0.19496183,1.0093297,-0.19496185
0.12,0.9550409,0.8253322,0.3201632,0.7868137,0.5375346,0.063536376,1.6386536,0.8389764,2.547742,0.21739702,0.8253323,0.32016313,0.8253322,0.32016322,0.8253322,0.3201632,0.35717446,0.15322728,0.35717446,0.15322728,0.35717446,0.15322733,1.1619645,0.22453293,0.3868885,0.38688847,-0.11605005,0.21897726,-0.20732005,0.6489265,1.0092019,-0.19499648,1.009202,-0.19499649
0.13,0.95523113,0.8252803,0.3201466,0.786669,0.5374286,0.06382098,1.6388419,0.8390911,2.547847,0.21730013,0.82528037,0.3201465,0.8252803,0.3201466,0.8252803,0.32014662,0.35719204,0.15319142,0.35719204,0.15319145,0.35719204,0.15319145,1.064454,0.2252489,0.38694698,0.38694698,-0.11543261,0.24112546,-0.0014786124,0.5270697,1.0090083,-0.19504452,1.0090084,-0.19504453
