Time (s),Fig3A(Mi9-On),Fig3A(Tm3-On),Fig3A(Mi1-On),Fig3A(Mi4-On),Fig3A(C3-On),Fig3A(Mi9-Off),Fig3A(Tm3-Off),Fig3A(Mi1-Off),Fig3A(Mi4-Off),Fig3A(C3-Off),Fig2A(Tm3-On-1),Fig2A(Mi1-On-1),Fig2A(Tm3-On-2),Fig2A(Mi1-On-2),Fig2A(Tm3-On-3),Fig2A(Mi1-On-3),Fig2B(Tm1-Off-1),Fig2B(Tm2-Off-1),Fig2B(Tm1-Off-2),Fig2B(Tm2-Off-2),Fig2B(Tm1-Off-3),Fig2B(Tm2-Off-3),Fig4b(Mi1-on),Fig4b(Tm1-on),Fig3c(Tm9-Off)Direct,Fig3c(Tm9-Off)Invert,Fig3b(Mi1-on),Fig4b(Tm1-off),Fig4b(Tm2-off),Fig4b(Tm3-off) ,FigS6(T2-flash),FigS5(T3-flash),Fig4a(T2-both),Fig4a(T3-both)
0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.99,0.99,1.00,0.01,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.42,0.65,0.73,0.73,0.25,0.69,0.68,0.23,0.15,0.23,0.00,0.00
0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.99,0.99,1.00,0.01,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.42,0.65,0.73,0.73,0.25,0.69,0.68,0.23,0.15,0.23,0.00,0.00
0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.99,0.99,1.00,0.01,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.42,0.65,0.73,0.73,0.25,0.69,0.68,0.23,0.15,0.23,0.00,0.00
0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.99,0.99,1.00,0.01,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.42,0.65,0.73,0.73,0.25,0.68,0.68,0.23,0.15,0.23,0.00,0.00
0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.99,1.00,1.00,0.01,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.62,0.65,0.73,0.73,0.54,0.69,0.68,0.23,0.15,0.23,0.00,0.00
0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.01,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.82,0.71,0.73,0.73,0.82,0.74,0.66,0.42,0.15,0.23,0.00,0.00
0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.01,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.95,0.71,0.73,0.73,1.00,0.74,0.55,0.70,0.15,0.23,0.00,0.00
0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.01,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,1.00,0.57,0.73,0.73,0.79,0.59,0.35,0.98,0.15,0.23,0.00,0.00
0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.01,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.99,0.33,0.73,0.73,0.50,0.31,0.12,1.00,0.15,0.23,0.00,0.00
0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.01,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.95,0.18,0.73,0.73,0.26,0.12,0.00,0.82,0.15,0.23,0.00,0.00
0.01,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.01,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.88,0.08,0.73,0.73,0.10,0.02,0.02,0.55,0.15,0.23,0.00,0.00
0.01,1.00,0.00,0.00,0.00,1.00,0.01,1.00,1.00,1.00,0.01,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.81,0.02,0.73,0.73,0.02,0.00,0.16,0.29,0.15,0.23,0.00,0.00
0.01,1.00,0.00,0.00,0.00,1.00,0.01,1.00,1.00,1.00,0.01,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.75,0.00,0.73,0.73,0.00,0.04,0.36,0.12,0.15,0.23,0.00,0.00
0.01,1.00,0.00,0.00,0.00,1.00,0.01,1.00,1.00,1.00,0.01,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.72,0.00,0.73,0.73,0.00,0.15,0.54,0.05,0.15,0.23,0.00,0.00
0.01,1.00,0.00,0.00,0.00,1.00,0.01,1.00,1.00,1.00,0.01,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.69,0.02,0.73,0.73,0.01,0.34,0.71,0.02,0.15,0.23,0.00,0.00
0.01,1.00,0.00,0.00,0.00,1.00,0.01,1.00,1.00,1.00,0.01,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.68,0.05,0.73,0.73,0.04,0.56,0.86,0.01,0.15,0.23,0.00,0.00
0.01,1.00,0.00,0.00,0.00,0.99,0.01,1.00,1.00,1.00,0.01,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.68,0.08,0.73,0.73,0.07,0.75,0.96,0.00,0.15,0.23,0.00,0.00
0.01,1.00,0.00,0.00,0.00,0.99,0.01,1.00,1.00,1.00,0.01,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.68,0.11,0.73,0.73,0.10,0.87,1.00,0.00,0.15,0.23,0.00,0.00
0.01,1.00,0.00,0.00,0.00,0.99,0.01,1.00,1.00,1.00,0.01,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.69,0.13,0.73,0.73,0.13,0.93,0.99,0.02,0.15,0.23,0.00,0.00
0.01,1.00,0.00,0.00,0.00,0.99,0.01,1.00,1.00,1.00,0.01,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.69,0.13,0.73,0.73,0.16,0.98,0.95,0.05,0.15,0.23,0.00,0.00
0.01,1.00,0.00,0.00,0.00,0.99,0.01,1.00,1.00,1.00,0.01,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.68,0.14,0.73,0.73,0.18,1.00,0.89,0.08,0.15,0.23,0.00,0.00
0.01,1.00,0.00,0.00,0.00,0.99,0.01,1.00,1.00,1.00,0.01,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.68,0.14,0.73,0.73,0.19,0.99,0.84,0.11,0.15,0.23,0.00,0.00
0.01,1.00,0.00,0.00,0.00,0.99,0.01,1.00,1.00,1.00,0.00,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.67,0.13,0.73,0.73,0.20,0.96,0.79,0.13,0.15,0.23,0.00,0.00
0.01,1.00,0.00,0.00,0.00,0.99,0.01,1.00,1.00,1.00,0.00,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.67,0.13,0.73,0.73,0.21,0.92,0.75,0.15,0.15,0.23,0.00,0.00
0.01,1.00,0.00,0.00,0.00,0.99,0.01,1.00,1.00,1.00,0.00,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.66,0.12,0.73,0.73,0.21,0.87,0.72,0.16,0.15,0.23,0.00,0.00
0.01,1.00,0.00,0.00,0.00,0.99,0.01,1.00,1.00,1.00,0.00,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.65,0.12,0.73,0.73,0.21,0.83,0.71,0.17,0.15,0.23,0.00,0.00
0.01,1.00,0.00,0.00,0.00,0.99,0.01,1.00,1.00,1.00,0.00,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.65,0.12,0.73,0.73,0.21,0.79,0.70,0.18,0.15,0.23,0.00,0.00
0.01,1.00,0.00,0.00,0.00,0.99,0.01,1.00,1.00,1.00,0.00,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.65,0.12,0.73,0.73,0.21,0.77,0.69,0.18,0.15,0.23,0.00,0.00
0.01,1.00,0.00,0.00,0.00,0.99,0.01,1.00,1.00,1.00,0.00,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.64,0.12,0.73,0.73,0.22,0.75,0.69,0.19,0.15,0.23,0.00,0.00
0.01,1.00,0.00,0.00,0.00,0.99,0.01,1.00,1.00,1.00,0.00,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.64,0.13,0.73,0.73,0.22,0.73,0.69,0.19,0.15,0.23,0.00,0.00
0.01,1.00,0.00,0.00,0.00,0.99,0.01,1.00,1.00,1.00,0.00,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.64,0.13,0.73,0.73,0.22,0.73,0.70,0.19,0.15,0.23,0.00,0.00
0.02,1.00,0.00,0.00,0.00,0.99,0.01,1.00,1.00,1.00,0.00,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.64,0.13,0.73,0.73,0.22,0.72,0.70,0.19,0.15,0.23,0.00,0.00
0.02,1.00,0.00,0.00,0.00,0.99,0.01,1.00,1.00,1.00,0.00,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.64,0.13,0.73,0.73,0.22,0.72,0.70,0.20,0.15,0.23,0.00,0.00
0.02,1.00,0.00,0.00,0.00,0.99,0.01,1.00,1.00,1.00,0.00,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.63,0.13,0.73,0.73,0.22,0.72,0.71,0.20,0.15,0.23,0.00,0.00
0.02,1.00,0.00,0.00,0.00,0.99,0.01,1.00,1.00,1.00,0.00,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.63,0.14,0.73,0.73,0.22,0.72,0.71,0.20,0.15,0.23,0.00,0.00
0.02,1.00,0.00,0.00,0.00,0.99,0.01,1.00,1.00,1.00,0.00,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.63,0.14,0.73,0.73,0.23,0.72,0.71,0.20,0.15,0.23,0.00,0.00
0.02,1.00,0.00,0.00,0.00,0.99,0.01,1.00,1.00,1.00,0.00,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.63,0.14,0.73,0.73,0.23,0.72,0.71,0.20,0.15,0.23,0.00,0.00
0.02,1.00,0.00,0.00,0.00,0.99,0.01,1.00,1.00,1.00,0.00,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.63,0.14,0.73,0.73,0.23,0.72,0.71,0.21,0.15,0.23,0.00,0.00
0.02,1.00,0.00,0.00,0.00,0.99,0.01,1.00,1.00,1.00,0.00,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.63,0.14,0.73,0.73,0.23,0.71,0.71,0.21,0.15,0.23,0.00,0.00
0.02,1.00,0.00,0.00,0.00,0.99,0.01,1.00,1.00,1.00,0.00,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.63,0.14,0.73,0.73,0.23,0.71,0.70,0.21,0.15,0.23,0.00,0.00
0.02,1.00,0.00,0.00,0.00,0.99,0.01,1.00,1.00,1.00,0.00,0.18,0.40,0.18,0.42,0.18,0.43,0.66,0.79,0.66,0.79,0.66,0.81,0.63,0.14,0.73,0.73,0.23,0.71,0.70,0.21,0.15,0.23,0.00,0.00
